City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
165,bredasdorp,-34.5322,20.0403,29.31,41,1,3.8,ZA,1674293654
166,iroquois falls,48.7669,-80.6831,-22.88,100,100,1.56,CA,1674293873
167,new norfolk,-42.7826,147.0587,16.72,70,99,0.89,AU,1674293875
168,mbuyapey,-26.2,-56.75,26.96,60,36,2.18,PY,1674293876
169,marzuq,14.4,46.4667,24.4,21,0,3.85,YE,1674293876
170,cap malheureux,-19.9842,57.6142,28.04,73,98,3.32,MU,1674293877
171,luderitz,-26.6481,15.1594,23.47,60,11,8.92,NA,1674293878
172,clyde river,70.4692,-68.5914,-34.87,68,0,2.57,CA,1674293585
173,tortoli,39.9256,9.6572,8.9,46,0,3.09,IT,1674293879
174,san jose,37.3394,-121.895,8.49,75,0,1.54,US,1674293346
175,killybegs,54.6333,-8.45,6.84,94,100,5.02,IE,1674293880
176,talara,-4.5772,-81.2719,21.79,71,51,5.19,PE,1674293881
177,ribeira grande,38.5167,-28.7,16.54,88,75,7.2,PT,1674293882
178,biak,-0.9131,122.8766,25.0,86,100,3.07,ID,1674293883
179,codrington,-38.2667,141.9667,15.78,88,52,6.59,AU,1674293883
180,broken hill,-31.95,141.4333,28.39,22,0,7.13,AU,1674293884
181,kovdor,67.5662,30.4758,-12.03,100,83,1.43,RU,1674293885
182,acapulco,16.8634,-99.8901,21.9,88,20,2.06,MX,1674293622
183,havelock,34.8791,-76.9013,7.99,63,98,1.34,US,1674293803
184,puerto narino,-3.7703,-70.3831,20.39,99,99,0.34,CO,1674293887
185,mandalgovi,45.7625,106.2708,-14.9,49,3,3.09,MN,1674293888
186,mardan,34.2019,72.0525,15.18,44,72,3.09,PK,1674293863
187,miracema do tocantins,-9.5618,-48.3967,23.02,92,51,1.08,BR,1674293890
188,whitehorse,60.7161,-135.0538,1.43,86,75,7.2,CA,1674293674
189,murindo,6.9848,-76.7544,21.15,99,38,0.66,CO,1674293891
190,port blair,11.6667,92.75,29.02,70,75,5.14,IN,1674293892
191,longyan,25.1072,117.0225,12.4,92,98,0.69,CN,1674293893
192,lorengau,-2.0226,147.2712,27.05,80,100,2.63,PG,1674293893
193,san rafael,-34.6177,-68.3301,20.56,28,0,2.47,AR,1674293761
194,torbay,47.6666,-52.7314,0.88,95,100,11.32,CA,1674293895
195,thompson,55.7435,-97.8558,-8.91,92,100,3.09,CA,1674293768
196,ozinki,51.1786,49.6769,-5.63,73,13,4.51,RU,1674293896
197,rocha,-34.4833,-54.3333,21.43,91,100,4.36,UY,1674293897
198,erenhot,43.6475,111.9767,-9.95,47,82,3.62,CN,1674293898
199,taitung,22.7583,121.1444,22.15,78,75,1.54,TW,1674293899
200,liuzhou,24.3126,109.3892,15.43,50,100,0.55,CN,1674293900
201,bol,13.4586,14.7147,25.44,36,50,3.13,TD,1674293901
202,thai binh,20.45,106.3333,19.12,67,3,4.43,VN,1674293902
203,saint-pierre,-21.3393,55.4781,30.82,66,100,6.17,RE,1674293903
204,ancud,-41.8697,-73.8203,13.93,93,89,1.06,CL,1674293904
205,mount pleasant,32.7941,-79.8626,11.11,64,0,2.57,US,1674293905
206,carnarvon,-24.8667,113.6333,25.27,71,2,10.02,AU,1674293906
207,nassau,40.7507,-73.5829,4.56,68,75,3.6,US,1674293907
208,severo-yeniseyskiy,60.3725,93.0408,-38.44,97,4,0.56,RU,1674293908
209,sorong,-0.8833,131.25,27.48,76,100,2.51,ID,1674293909
210,jerantut,3.936,102.3626,25.61,94,100,0.6,MY,1674293909
